PRN_A,PRN_B,RHO,N_proteins
PRN07,PRN18,-0.0920955966356788,15539
PRN07,PRN19,0.0642170187122586,18163
PRN07,PRN20,0.0491461787798983,3239
PRN07,PRN21,0.203400193918346,9307
PRN07,PRN22,-0.258479455904858,7667
PRN07,PRN23,0.210648166477917,10783
PRN07,PRN24,0.0630147397167466,8692
PRN07,PRN25,0.187872021335666,17384
PRN07,PRN26,0.0738576021561328,3977
PRN07,PRN27,0.0653463546213565,14391
PRN07,PRN28,0.0519649612293913,11152
PRN07,PRN29,0.00862871221974707,820
PRN07,PRN30,0.400045769920612,1517
PRN07,PRN31,0.206967209657343,34276
PRN07,PRN32,-0.205783754814401,2706
PRN07,PRN33,-0.232986546538833,14227
PRN07,PRN34,0.0694456183954659,9184
PRN07,PRN35,0.177672483407367,21402
PRN07,PRN36,-0.0425076307688031,39278
PRN07,PRN37,0.114024125472126,38622
PRN07,PRN38,0.180091432769114,8979
PRN07,PRN39,0.242398683433021,25748
PRN07,PRN40,-0.0309001036044812,2337
PRN07,PRN41,-0.250166858881498,9881
PRN08,PRN09,0.0189008632124702,7575
PRN08,PRN10,0.1456799982052,1350
PRN08,PRN11,-0.170714316083004,32925
PRN08,PRN12,-0.139867266052487,9075
PRN08,PRN13,-0.161659225987493,18900
PRN08,PRN14,-0.123411228392713,6150
PRN08,PRN15,-0.163992571838674,32925
PRN08,PRN16,-0.023859569601426,20550
PRN08,PRN17,-0.122764133942559,58725
PRN08,PRN18,-0.00992674955476643,28425
PRN08,PRN19,-0.151140581169253,33225
PRN08,PRN20,-0.124828609222239,5925
PRN08,PRN21,-0.152466458659209,17025
PRN08,PRN22,0.237264937820837,14025
PRN08,PRN23,-0.161586661579443,19725
PRN08,PRN24,0.0866025134813229,15900
PRN08,PRN25,-0.102376564907332,31800
PRN08,PRN26,-0.0223633965464688,7275
PRN08,PRN27,-0.0846643392247271,26325
PRN08,PRN28,-0.0777710781051016,20400
PRN08,PRN29,-0.0378269647985016,1500
PRN08,PRN30,-0.237968564113034,2775
PRN08,PRN31,-0.0799243572479185,62700
PRN08,PRN32,0.0970882000129569,4950
PRN08,PRN33,0.170997910996177,26025
PRN08,PRN34,0.000556306521297201,16800
PRN08,PRN35,-0.0687091548597451,39150
PRN08,PRN36,0.0912286438748664,71850
PRN08,PRN37,-0.0527389964655855,70650
PRN08,PRN38,-0.162046059276976,16425
PRN08,PRN39,-0.166556198766883,47100
PRN08,PRN40,0.0186185409030606,4275
PRN08,PRN41,0.239222413342445,18075
PRN09,PRN10,0.45041361505352,1818
PRN09,PRN11,0.00870350302528505,44339
PRN09,PRN12,-0.219975033136996,12221
PRN09,PRN13,0.272397420595917,25452
PRN09,PRN14,-0.127822089727552,8282
PRN09,PRN15,0.218219945714137,44339
PRN09,PRN16,-0.317768702438488,27674
PRN09,PRN17,0.0511167062772814,79083
PRN09,PRN18,-0.288039770326646,38279
PRN09,PRN19,-0.135018654509809,44743
PRN09,PRN20,-0.0417626444443502,7979
PRN09,PRN21,0.204552703440578,22927
PRN09,PRN22,-0.166292914498672,18887
PRN09,PRN23,0.205457823728237,26563
PRN09,PRN24,0.401670998898545,21412
PRN09,PRN25,0.204400310559837,42824
PRN09,PRN26,0.0765808362282928,9797
PRN09,PRN27,-0.249553848891198,35451
PRN09,PRN28,-0.179175213894315,27472
PRN09,PRN29,-0.234213273082453,2020
PRN09,PRN30,-0.0401910056448159,3737
PRN09,PRN31,0.237790150711644,84436
PRN09,PRN32,-0.442769333241812,6666
PRN09,PRN33,-0.286507577856162,35047
PRN09,PRN34,-0.00292033012413551,22624
PRN09,PRN35,0.284811477644946,52722
PRN09,PRN36,0.0607919935107932,96758
PRN09,PRN37,-0.0230120396586128,95142
PRN09,PRN38,-0.0876238025584167,22119
PRN09,PRN39,0.123138322138073,63428
PRN09,PRN40,-0.174702352619138,5757
PRN09,PRN41,-0.135552062658301,24341
PRN10,PRN11,-0.0654772931896644,7902
PRN10,PRN12,-0.314886804743467,2178
PRN10,PRN13,0.124801822478459,4536
PRN10,PRN14,-0.219594450121701,1476
PRN10,PRN15,0.0803323520211649,7902
PRN10,PRN16,-0.319345709798084,4932
PRN10,PRN17,-0.0619695528347287,14094
PRN10,PRN18,-0.288722603684996,6822
PRN10,PRN19,-0.239223636925432,7974
PRN10,PRN20,-0.173813485392528,1422
PRN10,PRN21,0.0459226381172304,4086
PRN10,PRN22,-0.0185024473679277,3366
PRN10,PRN23,0.0622146747365797,4734
PRN10,PRN24,0.38724929618083,3816
PRN10,PRN25,0.0900637496311861,7632
PRN10,PRN26,0.0293427072149336,1746
PRN10,PRN27,-0.277749857649408,6318
PRN10,PRN28,-0.23689577031021,4896
PRN10,PRN29,-0.29414579565412,360
PRN10,PRN30,-0.103463357110148,666
PRN10,PRN31,0.199171324524497,15048
PRN10,PRN32,-0.351095424408959,1188
PRN10,PRN33,-0.175994117674579,6246
PRN10,PRN34,-0.0872572996416882,4032
PRN10,PRN35,0.209543285297784,9396
PRN10,PRN36,0.139462977282374,17244
PRN10,PRN37,-0.0151049463634736,16956
PRN10,PRN38,-0.20859853227523,3942
PRN10,PRN39,-0.0311135553940319,11304
PRN10,PRN40,-0.279713493227089,1026
PRN10,PRN41,0.0107983685174415,4338
PRN11,PRN12,0.0302823918431715,53119
PRN11,PRN13,0.091281113914232,110628
PRN11,PRN14,0.154133187885279,35998
PRN11,PRN15,0.0791431691947207,192721
PRN11,PRN16,-0.076682186337691,120286
PRN11,PRN17,0.0353785464278212,343737
PRN11,PRN18,-0.0210908424451194,166381
PRN11,PRN19,0.0556642930127828,194477
PRN11,PRN20,0.0610811440288219,34681
PRN11,PRN21,0.0733615374065688,99653
PRN11,PRN22,-0.135383217846022,82093
PRN11,PRN23,0.0806279084113497,115457
PRN11,PRN24,0.0437879170077841,93068
PRN11,PRN25,0.0694825183729731,186136
PRN11,PRN26,0.00276399152385846,42583
PRN11,PRN27,0.0812089047484986,154089
PRN11,PRN28,0.0746604089440856,119408
PRN11,PRN29,0.00958343180264958,8780
PRN11,PRN30,0.293649316242669,16243
PRN11,PRN31,0.126247470457851,367004
PRN11,PRN32,-0.0890859488090359,28974
PRN11,PRN33,-0.112050429325314,152333
PRN11,PRN34,0.0196322685853678,98336
PRN11,PRN35,0.0683431964861645,229158
PRN11,PRN36,-0.0345386161111657,420562
PRN11,PRN37,0.0844056439236498,413538
PRN11,PRN38,0.146209031244418,96141
PRN11,PRN39,0.115029647744373,275692
PRN11,PRN40,-0.0470648019503042,25023
PRN11,PRN41,-0.136150747499356,105799
PRN12,PRN13,-0.100538070480489,30492
PRN12,PRN14,0.170734185781947,9922
PRN12,PRN15,-0.0727281658938442,53119
PRN12,PRN16,0.200275135709897,33154
PRN12,PRN17,-0.011559408450261,94743
PRN12,PRN18,0.20073699362223,45859
PRN12,PRN19,0.203649760287059,53603
PRN12,PRN20,0.192106559070167,9559
PRN12,PRN21,-0.109393231470572,27467
PRN12,PRN22,0.0184939450452683,22627
PRN12,PRN23,-0.0813705821762519,31823
PRN12,PRN24,-0.170476505437981,25652
PRN12,PRN25,-0.130271119211398,51304
PRN12,PRN26,-0.126017589508078,11737
PRN12,PRN27,0.241900995490889,42471
PRN12,PRN28,0.179462943445186,32912
PRN12,PRN29,0.118674753829994,2420
PRN12,PRN30,0.0425551661719072,4477
PRN12,PRN31,-0.131410056438808,101156
PRN12,PRN32,0.213147366271538,7986
PRN12,PRN33,0.102624326411222,41987
PRN12,PRN34,-0.0231624296137798,27104
PRN12,PRN35,-0.179678317735002,63162
PRN12,PRN36,-0.131715607716043,115918
PRN12,PRN37,-0.014642154188351,113982
PRN12,PRN38,0.167160679410554,26499
PRN12,PRN39,-0.0391128415201234,75988
PRN12,PRN40,0.065079180198822,6897
PRN12,PRN41,-0.00826874933879323,29161
PRN13,PRN14,-0.0572603429759895,20664
PRN13,PRN15,0.302373559214938,110628
PRN13,PRN16,-0.204612855809367,69048
PRN13,PRN17,0.177867636056016,197316
PRN13,PRN18,-0.225326692563825,95508
PRN13,PRN19,-0.00903951174931685,111636
PRN13,PRN20,0.010738543409039,19908
PRN13,PRN21,0.340237276212262,57204
PRN13,PRN22,-0.274855813823407,47124
PRN13,PRN23,0.324983278090394,66276
PRN13,PRN24,0.16518972918415,53424
PRN13,PRN25,0.294235744736245,106848
PRN13,PRN26,0.17020421136829,24444
PRN13,PRN27,-0.1534379120167,88452
PRN13,PRN28,-0.114081873094724,68544
PRN13,PRN29,-0.0579826870853434,5040
PRN13,PRN30,0.0589487038641839,9324
PRN13,PRN31,0.192544397081437,210672
PRN13,PRN32,-0.372828187743994,16632
PRN13,PRN33,-0.314811695318196,87444
PRN13,PRN34,0.0979384411500616,56448
PRN13,PRN35,0.292110037618837,131544
PRN13,PRN36,-0.0109735673632666,241416
PRN13,PRN37,-0.000490979150160695,237384
PRN13,PRN38,0.020059604493628,55188
PRN13,PRN39,0.269824924709807,158256
PRN13,PRN40,0.0111580170002005,14364
PRN13,PRN41,-0.249698374047619,60732
PRN14,PRN15,-0.0590709015078038,35998
PRN14,PRN16,0.10745658850671,22468
PRN14,PRN17,-0.0183438129284467,64206
PRN14,PRN18,0.241774827202811,31078
PRN14,PRN19,0.185719235643885,36326
PRN14,PRN20,0.271210247850844,6478
PRN14,PRN21,-0.0404106300755797,18614
PRN14,PRN22,-0.0162140525495701,15334
PRN14,PRN23,-0.0469863883599753,21566
PRN14,PRN24,-0.0195105145880423,17384
PRN14,PRN25,-0.0601711188488664,34768
PRN14,PRN26,-0.0927328119432524,7954
PRN14,PRN27,0.236865395291301,28782
PRN14,PRN28,0.324554655033163,22304
PRN14,PRN29,0.0925836882492749,1640
PRN14,PRN30,0.231124800416968,3034
PRN14,PRN31,-0.00439420986591194,68552
PRN14,PRN32,0.107254794709799,5412
PRN14,PRN33,0.0574327151484704,28454
PRN14,PRN34,0.0352015389640725,18368
PRN14,PRN35,-0.0974010930121725,42804
PRN14,PRN36,-0.117198766430463,78556
PRN14,PRN37,0.0563389547037482,77244
PRN14,PRN38,0.3324482556051,17958
PRN14,PRN39,0.0174257329891525,51496
PRN14,PRN40,0.0187882350637512,4674
PRN14,PRN41,-0.0376268145217836,19762
PRN15,PRN16,-0.158210243529221,120286
PRN15,PRN17,0.169067281495886,343737
PRN15,PRN18,-0.193751337903153,166381
PRN15,PRN19,0.0053341592726234,194477
PRN15,PRN20,0.00693569393114858,34681
PRN15,PRN21,0.303352578297634,99653
PRN15,PRN22,-0.256437231138267,82093
PRN15,PRN23,0.291471000729271,115457
PRN15,PRN24,0.116870375762426,93068
PRN15,PRN25,0.259579473794108,186136
PRN15,PRN26,0.155203198925741,42583
PRN15,PRN27,-0.129837106041476,154089
PRN15,PRN28,-0.102790061046235,119408
PRN15,PRN29,-0.0289569070224139,8780
PRN15,PRN30,0.0560868114869893,16243
PRN15,PRN31,0.157364441660104,367004
PRN15,PRN32,-0.31865110597274,28974
PRN15,PRN33,-0.28089943890063,152333
PRN15,PRN34,0.0822069846803173,98336
PRN15,PRN35,0.249670423834292,229158
PRN15,PRN36,-0.0161714534083545,420562
PRN15,PRN37,-6.38478705017375e-05,413538
PRN15,PRN38,0.0167364043754243,96141
PRN15,PRN39,0.243006945874271,275692
PRN15,PRN40,0.0167668669987302,25023
PRN15,PRN41,-0.235408434274314,105799
PRN16,PRN17,-0.0379379165714541,214542
PRN16,PRN18,0.249153569905959,103846
PRN16,PRN19,0.142299166014161,121382
PRN16,PRN20,0.11197178608885,21646
PRN16,PRN21,-0.173414529207165,62198
PRN16,PRN22,0.1078606166007,51238
PRN16,PRN23,-0.164041063550927,72062
PRN16,PRN24,-0.269350275726478,58088
PRN16,PRN25,-0.187243599387924,116176
PRN16,PRN26,-0.0998302224822109,26578
PRN16,PRN27,0.171482959346157,96174
PRN16,PRN28,0.159578616059508,74528
PRN16,PRN29,0.228761081415456,5480
PRN16,PRN30,-0.0756182648740529,10138
PRN16,PRN31,-0.217335207341591,229064
PRN16,PRN32,0.323915121661232,18084
PRN16,PRN33,0.207644587998461,95078
PRN16,PRN34,-0.0490567547985419,61376
PRN16,PRN35,-0.247414029086191,143028
PRN16,PRN36,-0.0789530093694961,262492
PRN16,PRN37,-0.0250742841313252,258108
PRN16,PRN38,0.0822654914055129,60006
PRN16,PRN39,-0.128476740454591,172072
PRN16,PRN40,0.0846904652465457,15618
PRN16,PRN41,0.0805848494531383,66034
PRN17,PRN18,-0.0857678882545568,296757
PRN17,PRN19,0.035014175553385,346869
PRN17,PRN20,0.01107285024292,61857
PRN17,PRN21,0.210045785148223,177741
PRN17,PRN22,-0.16695814407336,146421
PRN17,PRN23,0.18916727587904,205929
PRN17,PRN24,-0.0067853932570058,165996
PRN17,PRN25,0.16749680762227,331992
PRN17,PRN26,0.130883495802134,75951
PRN17,PRN27,-0.0478476161648501,274833
PRN17,PRN28,-0.0416052246036338,212976
PRN17,PRN29,0.0568388741613788,15660
PRN17,PRN30,0.0333420420094621,28971
PRN17,PRN31,0.0464859676142601,654588
PRN17,PRN32,-0.150036444213039,51678
PRN17,PRN33,-0.153774923117005,271701
PRN17,PRN34,0.0926508885536008,175392
PRN17,PRN35,0.125189844390693,408726
PRN17,PRN36,-0.0301611080099523,750114
PRN17,PRN37,-0.00204546552869135,737586
PRN17,PRN38,0.0299775487518192,171477
PRN17,PRN39,0.16987631381099,491724
PRN17,PRN40,0.112062634251635,44631
PRN17,PRN41,-0.155860160647645,188703
PRN18,PRN19,0.152961116871123,167897
PRN18,PRN20,0.180959743792929,29941
PRN18,PRN21,-0.204031322050394,86033
PRN18,PRN22,0.141934041668946,70873
PRN18,PRN23,-0.195816482791956,99677
PRN18,PRN24,-0.20101528395292,80348
PRN18,PRN25,-0.208352905804601,160696
PRN18,PRN26,-0.152174382968263,36763
PRN18,PRN27,0.219361946291225,133029
PRN18,PRN28,0.24760911390167,103088
PRN18,PRN29,0.119462416701533,7580
PRN18,PRN30,-0.00864386294723472,14023
PRN18,PRN31,-0.176642136945411,316844
PRN18,PRN32,0.327040493468664,25014
PRN18,PRN33,0.229321490041656,131513
PRN18,PRN34,-0.0341733595912713,84896
PRN18,PRN35,-0.250083917267033,197838
PRN18,PRN36,-0.0907179497763999,363082
PRN18,PRN37,-0.00599903543091882,357018
PRN18,PRN38,0.167004740222227,83001
PRN18,PRN39,-0.137980948535489,238012
PRN18,PRN40,0.0566994629208384,21603
PRN18,PRN41,0.111422391235918,91339
PRN19,PRN20,0.181346257294979,34997
PRN19,PRN21,-0.00328466128618045,100561
PRN19,PRN22,-0.0575999186131016,82841
PRN19,PRN23,0.00709893283231922,116509
PRN19,PRN24,-0.114452299848356,93916
PRN19,PRN25,-0.0369788461773146,187832
PRN19,PRN26,-0.0606695323473283,42971
PRN19,PRN27,0.144865660992106,155493
PRN19,PRN28,0.164987539143416,120496
PRN19,PRN29,0.108715928212385,8860
PRN19,PRN30,0.0764178251333006,16391
PRN19,PRN31,-0.0579867736544788,370348
PRN19,PRN32,0.0991018969172864,29238
PRN19,PRN33,0.0193315510679815,153721
PRN19,PRN34,0.00199513885333438,99232
PRN19,PRN35,-0.0808192234991373,231246
PRN19,PRN36,-0.102344730012386,424394
PRN19,PRN37,0.00616267986808811,417306
PRN19,PRN38,0.175884284026742,97017
PRN19,PRN39,0.0314549256791606,278204
PRN19,PRN40,0.0466247187390443,25251
PRN19,PRN41,-0.0736267947936594,106763
PRN20,PRN21,0.00338590625090759,17933
PRN20,PRN22,-0.0479024358531374,14773
PRN20,PRN23,0.00948925966854401,20777
PRN20,PRN24,0.0216094659043936,16748
PRN20,PRN25,-0.0370066253953513,33496
PRN20,PRN26,-0.102356862068218,7663
PRN20,PRN27,0.15040803113758,27729
PRN20,PRN28,0.225476319898508,21488
PRN20,PRN29,0.0751500149789947,1580
PRN20,PRN30,0.0631757097018484,2923
PRN20,PRN31,-0.0237432215961428,66044
PRN20,PRN32,0.0623930304996264,5214
PRN20,PRN33,0.0169260871660742,27413
PRN20,PRN34,0.00464047495688845,17696
PRN20,PRN35,-0.0632660529998066,41238
PRN20,PRN36,-0.121442793256717,75682
PRN20,PRN37,-0.00543278137295021,74418
PRN20,PRN38,0.237829486857444,17301
PRN20,PRN39,0.0277764865749797,49612
PRN20,PRN40,0.0032221648129354,4503
PRN20,PRN41,-0.0640351326046793,19039
PRN21,PRN22,-0.270635380039872,42449
PRN21,PRN23,0.34761742008736,59701
PRN21,PRN24,0.089324320733464,48124
PRN21,PRN25,0.322799314958143,96248
PRN21,PRN26,0.226864199386042,22019
PRN21,PRN27,-0.139316724179518,79677
PRN21,PRN28,-0.0995416932386489,61744
PRN21,PRN29,0.00878794704814836,4540
PRN21,PRN30,0.0391557632673671,8399
PRN21,PRN31,0.154649959009753,189772
PRN21,PRN32,-0.339137296580948,14982
PRN21,PRN33,-0.294835376994672,78769
PRN21,PRN34,0.15718330887105,50848
PRN21,PRN35,0.287018579666218,118494
PRN21,PRN36,-0.0194269730852604,217466
PRN21,PRN37,-0.0054771891277413,213834
PRN21,PRN38,0.0306064679468444,49713
PRN21,PRN39,0.296450347662665,142556
PRN21,PRN40,0.11147848970911,12939
PRN21,PRN41,-0.243934905518194,54707
PRN22,PRN23,-0.264297386261228,49181
PRN22,PRN24,-0.0742496105297678,39644
PRN22,PRN25,-0.224959336308411,79288
PRN22,PRN26,-0.118454368943355,18139
PRN22,PRN27,0.0685429183790821,65637
PRN22,PRN28,0.0433132643870636,50864
